Options:
Model:                           Discrete: Dependent
Tree File Name:                  pruned_tree.trees
Data File Name:                  BT_data.txt
Log File Name:                   res_dep.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2780318671
Precision:                       64 bits
Cores:                           5
Analysis Type:                   MCMC
Sample Period:                   30000
Iterations:                      30300000
Burn in:                         300000
MCMC ML Start:                   False
Schedule File:                   res_dep.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q13 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q21 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q24 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q31 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q34 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q42 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q43 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
Tree Information
     Trees:                      100
     Taxa:                       1993
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	q12 - Shape	q12 - Scale	q13 - Shape	q13 - Scale	q21 - Shape	q21 - Scale	q24 - Shape	q24 - Scale	q31 - Shape	q31 - Scale	q34 - Shape	q34 - Scale	q42 - Shape	q42 - Scale	q43 - Shape	q43 - Scale	
60000	-2264.825972	1	0.184378	0.194049	0.394859	0.510902	0.205813	0.352158	0.250080	0.125864	0.250000	0.250000	0.250000	0.250000	1.352147	1.043184	0.716005	6.476544	9.063780	0.036594	2.430951	0.271396	0.112713	7.853665	0.438160	9.258235	1.063530	2.650336	0.406954	0.680832	
90000	-2261.988205	1	0.216898	0.219093	0.485903	0.497598	0.220032	0.282273	0.234963	0.088686	0.250000	0.250000	0.250000	0.250000	0.518199	6.386912	1.207649	1.410477	1.036219	2.226229	0.420638	4.029132	1.053489	5.452115	0.256374	7.945011	0.400121	3.606666	0.960905	4.603062	
120000	-2264.593076	1	0.268539	0.223562	0.498963	0.453386	0.208020	0.379739	0.243271	0.124662	0.250000	0.250000	0.250000	0.250000	1.814691	0.953170	4.935836	0.066088	0.865448	0.798248	0.418658	1.435481	1.474209	0.400025	2.474797	0.163056	0.704616	9.597324	0.512362	2.941657	
150000	-2262.565566	1	0.302252	0.234603	0.706371	0.507602	0.206946	0.319168	0.227120	0.101174	0.250000	0.250000	0.250000	0.250000	1.129501	0.704155	0.823858	4.821797	4.323174	0.309387	0.341646	0.412007	1.394889	0.236436	8.719817	0.105242	0.714402	2.013325	0.207280	2.146419	
180000	-2264.888440	1	0.206414	0.234234	0.367527	0.455060	0.253326	0.339489	0.213831	0.134630	0.250000	0.250000	0.250000	0.250000	0.262731	2.079269	0.727909	6.288196	1.775216	0.243664	0.591280	3.562656	3.276591	0.097742	1.493791	1.978489	1.907803	0.156704	0.629839	2.212237	
210000	-2264.308742	1	0.182508	0.235987	0.388789	0.601911	0.215354	0.284400	0.278067	0.087519	0.250000	0.250000	0.250000	0.250000	1.321125	0.926224	0.239667	6.384201	1.338630	0.473183	0.418859	9.139968	0.534101	6.934668	0.397132	4.679598	1.036393	1.360241	1.492291	0.767062	
240000	-2263.853934	1	0.242271	0.177598	0.431930	0.486416	0.160476	0.349278	0.245164	0.135767	0.250000	0.250000	0.250000	0.250000	0.592499	9.193557	3.852710	0.173007	1.888987	0.961478	0.914030	1.456816	1.399409	0.456077	0.490430	7.591986	1.374425	1.311387	1.798797	0.089849	
270000	-2266.504550	1	0.231743	0.168570	0.502317	0.597622	0.145022	0.330295	0.283145	0.076704	0.250000	0.250000	0.250000	0.250000	0.573557	0.988974	1.039360	0.180998	7.032179	0.032746	1.000772	0.776460	0.662116	4.954427	3.651057	0.049431	1.998566	0.144660	2.650635	0.024829	
300000	-2262.173646	1	0.291562	0.252839	0.696953	0.453941	0.187111	0.329351	0.237419	0.082349	0.250000	0.250000	0.250000	0.250000	3.330092	0.191409	0.822635	2.598805	5.289499	0.227218	1.286972	0.695111	2.227207	3.176170	2.098695	0.622292	0.764680	6.147282	0.293782	3.406705	
330000	-2261.147778	1	0.269554	0.220166	0.585549	0.502015	0.209438	0.284003	0.234543	0.097406	0.250000	0.250000	0.250000	0.250000	8.707569	0.044852	0.646527	1.393422	1.135613	1.415263	5.579419	0.096820	0.142809	6.027154	0.474590	2.046946	0.399730	4.807466	0.368779	2.385465	
360000	-2264.564732	1	0.270007	0.198724	0.643229	0.735774	0.187478	0.277192	0.268385	0.090121	0.250000	0.250000	0.250000	0.250000	8.707569	0.044852	0.646527	1.393422	1.135613	1.415263	5.579419	0.096820	0.142809	6.027154	0.474590	2.046946	0.399730	4.807466	0.368779	2.385465	
390000	-2265.194296	1	0.344370	0.257398	0.687249	0.463445	0.185232	0.287984	0.199220	0.094499	0.250000	0.250000	0.250000	0.250000	8.707569	0.044852	0.646527	1.393422	1.135613	1.415263	5.579419	0.096820	0.142809	6.027154	0.474590	2.046946	0.399730	4.807466	0.368779	2.385465	
420000	-2264.815088	1	0.265683	0.203872	0.410203	0.564464	0.204681	0.329764	0.276688	0.106191	0.250000	0.250000	0.250000	0.250000	9.417559	0.020257	0.674381	0.221528	1.534049	0.588048	6.554000	0.084807	1.558634	6.123250	1.423264	0.442941	0.732552	4.231234	0.783189	2.308233	
450000	-2261.807652	1	0.236578	0.243492	0.545883	0.526390	0.190424	0.284151	0.265332	0.074487	0.250000	0.250000	0.250000	0.250000	1.726945	0.289881	0.201335	6.018160	0.308636	0.752397	1.064508	0.279836	0.480137	3.227612	0.710010	0.850600	1.245126	2.030486	0.597589	2.804375	
480000	-2266.488182	1	0.279752	0.216655	0.759519	0.440106	0.217101	0.286848	0.168736	0.085191	0.250000	0.250000	0.250000	0.250000	0.303530	8.038416	1.096173	6.527670	2.076627	1.617352	0.794434	1.784433	0.405592	0.439608	0.929552	9.027709	0.622545	9.277082	0.339987	7.061023	
510000	-2264.965139	1	0.195362	0.189845	0.545429	0.480630	0.189566	0.304266	0.234531	0.096610	0.250000	0.250000	0.250000	0.250000	2.115452	0.246458	0.924861	0.252343	1.309061	0.673957	0.476620	5.330300	0.757270	0.575897	3.605872	0.106176	0.706314	4.690844	0.661554	6.400777	
540000	-2263.638755	1	0.246474	0.241066	0.522530	0.485570	0.212706	0.292659	0.231395	0.062497	0.250000	0.250000	0.250000	0.250000	3.024968	0.135487	2.891061	0.436709	0.971661	0.643520	0.660284	6.393803	2.477359	0.111225	5.146878	0.106979	2.528651	0.343024	0.607038	7.638123	
570000	-2262.539723	1	0.246833	0.216915	0.504802	0.584453	0.166737	0.365929	0.255647	0.141839	0.250000	0.250000	0.250000	0.250000	0.768257	1.016583	2.067066	0.260215	2.189775	1.881609	0.631746	8.181219	0.724911	0.293934	0.535376	4.209696	1.566788	0.261588	0.217208	6.161154	
600000	-2261.000806	1	0.237015	0.216059	0.554545	0.516192	0.203739	0.309667	0.228093	0.109197	0.250000	0.250000	0.250000	0.250000	0.411851	8.862500	5.139725	0.102467	0.783825	1.061228	0.702365	4.907488	0.287895	5.938818	0.276544	1.259978	1.036727	5.156350	1.275764	4.559284	
630000	-2264.659732	1	0.255901	0.185349	0.501984	0.475295	0.210104	0.261004	0.169732	0.090703	0.250000	0.250000	0.250000	0.250000	0.500190	3.215825	0.607075	3.291151	0.732012	3.964960	1.077526	4.004606	1.092614	5.077412	1.310752	4.915515	4.314208	0.043077	0.297828	9.059470	
